sku,product_num,product_color,product_size,total_each_sku,product_unit_price,order_date,order_id
901-Navy-M,901,Navy,M,1,35,2018/01/01,3355
501-SlateGray-M,501,SlateGray,M,1,67,2018/01/01,3355
202-Black-M,202,Black,M,1,74,2018/01/01,3362
202-Navy-M,202,Navy,M,1,74,2018/01/01,3362
201-White-XS,201,White,XS,2,67,2018/01/01,3357
202-White-XS,202,White,XS,1,74,2018/01/01,3357
1041-Black-XL,1041,Black,XL,1,86.13,2018/01/01,3366
1001-White-XL,1001,White,XL,1,72.13,2018/01/01,3366
202-Natural-XS,202,Natural,XS,1,69,2018/01/01,3364
301-White-XS,301,White,XS,1,67,2018/01/01,3364
301-Navy-XS,301,Navy,XS,1,67,2018/01/01,3364
230-Black-XS,230,Black,XS,1,74,2018/01/01,3364
230-White-XS,230,White,XS,1,74,2018/01/01,3364
230-SlateGray-XS,230,SlateGray,XS,1,74,2018/01/01,3364
202-Natural-S,202,Natural,S,1,69,2016/01/01,2878
202-White-S,202,White,S,1,74,2016/01/01,2878
501-Natural-XS,501,Natural,XS,1,39,2016/01/01,2875
9001-White-L,9001,White,L,1,72,2016/01/01,2875
9001-Black-L,9001,Black,L,1,72,2016/01/01,2875
501-Black-M,501,Black,M,1,67,2016/01/01,2876
501-White-M,501,White,M,1,67,2016/01/01,2876
501-Navy-M,501,Navy,M,1,67,2016/01/01,2876
1001-White-M,1001,White,M,1,67,2016/01/01,2876
401-White-L,401,White,L,2,74,2019/01/01,3774
401-Navy-L,401,Navy,L,1,74,2019/01/01,3774
501-Ivory-L,501,Ivory,L,1,74,2019/01/01,3779
501-Black-L,501,Black,L,1,74,2019/01/01,3779
230-Black-L,230,Black,L,1,80,2019/01/01,3779
402-Ivory-XL,402,Ivory,XL,2,80,2019/01/01,3777
201-White-XL,201,White,XL,1,74,2019/01/01,3777
302-White-S,302,White,S,1,80,2019/01/01,3771
1001-Ivory-XL,1001,Ivory,XL,2,74,2019/01/01,3770
230-Black-M,230,Black,M,1,80,2019/01/01,3773
230-White-M,230,White,M,1,80,2019/01/01,3773
402-SlateGray-M,402,SlateGray,M,1,80,2019/01/01,3772
402-Ivory-M,402,Ivory,M,1,80,2019/01/01,3772
202-Black-XS,202,Black,XS,2,80,2019/01/01,3775
402-FuchsiaPurple-S,402,FuchsiaPurple,S,1,76,2020/01/01,4259
802-FuchsiaPurple-S,802,FuchsiaPurple,S,1,79,2020/01/01,4259
501-FuchsiaPurple-S,501,FuchsiaPurple,S,1,65,2020/01/01,4259
402-Black-S,402,Black,S,1,80,2020/01/01,4259
